Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/myig.xml	5339	-	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	12	71	0	0	0	2	0	0
input/examples/Practitioner-f644ab44-7e32-4e05-972c-1f14bebf27a8.json	325	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0
input/examples/Organization-fab4d0d7-b8dd-4c6f-9c7e-71ca0ee53ac.json	386	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0
input/examples/Bundle-7898e419-6983-4afc-8163-a19274a12290.json	8965	15	0	0	0	0	32	0	1	144	0	0	0	0	0	0	0	2	0	0	57	62	0	0	0	0	0	0
input/examples/Encounter-2d3f8e19-205e-40c6-aeec7b17cbef8045.json	692	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
input/examples/RequestGroup-25f1ea48-e0ef-405e-86fc-498ae907f6df.json	876	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
input/examples/Medication-a87cddf3-01de-4241-b9b2-7209f5f2bcab.json	389	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/examples/MessageHeader-db6428bf-1e58-48d4-9102-b85d6c716bb1.json	1013	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
input/examples/Organization-fab4d0d7-b8dd-4c6f-9c7e-71ca0ee53ace.json	387	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
input/examples/MedicationRequest-e22942f3-a461-40b9-8449-30f7a7e9d0d5.json	1170	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	0	0	0
input/examples/Patient-3616b380-01be-465a-aa29-906337c6e7a4.json	553	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0
input/examples/Coverage-219eb473-8ee3-4e3d-b785-b204b71de77f.json	889	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	0	0
input/examples/Organization-dec4d0d7-b8dd-4c6f-9c7e-71ca0ee53ace.json	212	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
input/examples/Location-04f1ea48-e0ef-405e-86fc-498ae907f6d0.json	621	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	5	22	0	0	0	0	0	0
input/extensions/StructureDefinition-ptOccupation.json	2606	10	1	0	0	0	0	43	0	72	0	0	0	0	0	0	0	1	0	0	99	1586	0	0	0	1	1	0
input/extensions/StructureDefinition-presc-type.json	1201	5	0	0	0	0	0	13	0	17	0	0	0	0	0	0	0	0	0	0	34	218	0	0	0	1	0	0
input/extensions/StructureDefinition-episodeServiceSpecialty.json	1439	5	0	0	0	0	0	13	0	11	0	0	0	0	0	0	0	0	0	0	35	238	0	0	0	1	0	1
input/extensions/StructureDefinition-contactPreference.json	1131	4	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	33	181	0	0	0	1	0	0
input/extensions/StructureDefinition-med-prescription-dosage-instruction.json	2943	7	0	0	0	0	0	72	0	35	0	0	0	0	0	0	0	0	0	0	82	314	0	0	0	1	0	0
input/extensions/StructureDefinition-med-cost.json	2189	6	0	0	0	0	0	29	0	27	0	0	0	0	0	0	0	0	0	0	77	257	0	0	0	2	0	0
input/extensions/StructureDefinition-contactObservations.json	1278	5	0	0	0	0	0	22	0	10	0	0	0	0	0	0	0	0	0	0	34	124	0	0	0	0	0	0
input/extensions/ext-2.xml	1217	37	0	0	0	0	0	14	0	12	0	0	0	0	0	0	0	0	0	0	33	270	0	0	0	1	0	0
input/extensions/StructureDefinition-meaning-order.json	1237	5	0	0	0	0	0	13	0	11	0	0	0	0	0	0	0	0	0	0	36	313	0	0	0	1	0	0
